"學校代碼","鄉鎮""","學校名稱","網址","國中小"
074723,"埤頭鄉","豐崙國小","www.fles.chc.edu.tw",1
074724,"埤頭鄉","芙朝國小","www.fces.chc.edu.tw",1
074725,"埤頭鄉","中和國小","www.ches.chc.edu.tw",1
074726,"埤頭鄉","大湖國小","www.dhes.chc.edu.tw",1
074727,"溪州鄉","溪州國小","www.sjps.chc.edu.tw",1
074728,"溪州鄉","僑義國小","www.cyes.chc.edu.tw",1
074729,"溪州鄉","三條國小","www.steps.chc.edu.tw",1
074730,"溪州鄉","水尾國小","www.swes.chc.edu.tw",1
074731,"溪州鄉","潮洋國小","www.cyps.chc.edu.tw",1
074732,"溪州鄉","成功國小","www.cges.chc.edu.tw",1
074733,"溪州鄉","圳寮國小","www.jles.chc.edu.tw",1
074734,"溪州鄉","大莊國小","www.djps.chc.edu.tw",1
074735,"溪州鄉","南州國小","www.njps.chc.edu.tw",1
074736,"二林鎮","二林國小","www.elps.chc.edu.tw",1
074737,"二林鎮","興華國小","www.shes.chc.edu.tw",1
074738,"二林鎮","中正國小","www.ccps.chc.edu.tw",1
074739,"二林鎮","育德國小","www.ydes.chc.edu.tw",1
074740,"二林鎮","香田國小","www.sstes.chc.edu.tw",1
074741,"二林鎮","廣興國小","www.gsps.chc.edu.tw",1
074742,"二林鎮","萬興國小","www.wsps.chc.edu.tw",1
074743,"二林鎮","新生國小","www.sssps.chc.edu.tw",1
074744,"二林鎮","中興國小","www.scses.chc.edu.tw",1
074537,"二林鎮","原斗國中小","www.ydps.chc.edu.tw",12
074746,"二林鎮","萬合國小","www.whes.chc.edu.tw",1
074747,"大城鄉","大城國小","www.dcps.chc.edu.tw",1
074749,"大城鄉","西港國小","www.sges.chc.edu.tw",1
074750,"大城鄉","美豐國小","www.mfes.chc.edu.tw",1
074752,"大城鄉","潭墘國小","www.tcps.chc.edu.tw",1
074753,"竹塘鄉","竹塘國小","www.ctes.chc.edu.tw",1
074754,"竹塘鄉","田頭國小","www.ttes.chc.edu.tw",1
074755,"竹塘鄉","民靖國小","www.mjes.chc.edu.tw",1
074756,"竹塘鄉","長安國小","www.caes.chc.edu.tw",1
074757,"竹塘鄉","土庫國小","www.tkes.chc.edu.tw",1
074758,"芳苑鄉","芳苑國小","www.fyes.chc.edu.tw",1
074759,"芳苑鄉","後寮國小","www.hles.chc.edu.tw",1
074760,"芳苑鄉","民權華德福國中小","www.mcws.chc.edu.tw",12
074761,"芳苑鄉","育華國小","www.yhes.chc.edu.tw",1
074762,"芳苑鄉","草湖國小","www.thes.chc.edu.tw",1
074763,"芳苑鄉","建新國小","www.jses.chc.edu.tw",1
074764,"芳苑鄉","漢寶國小","www.hbes.chc.edu.tw",1
074765,"芳苑鄉","王功國小","www.wges.chc.edu.tw",1
074766,"芳苑鄉","新寶國小","www.sbes.chc.edu.tw",1
074767,"芳苑鄉","路上國小","www.lses.chc.edu.tw",1
074769,"和美鎮","和仁國小","www.hres.chc.edu.tw",1
074771,"鹿港鎮","鹿東國小","www.ldes.chc.edu.tw",1
074772,"社頭鄉","舊社國小","www.csnes.chc.edu.tw",1
074773,"社頭鄉","崙雅國小","www.lyps.chc.edu.tw",1
074775,"彰化市","大成國小","www.dches.chc.edu.tw",1
074776,"田中鎮","新民國小","www.smps.chc.edu.tw",1
074777,"溪湖鎮","湖北國小","www.hbps.chc.edu.tw",1
